smiles,Motif extension,Scaffold morphing,Scaffold decoration,Superstructure generation
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,['[1*]N1CC2(C[C@H]1C(=O)O)SCCS2'],"['[1*]c1ccccc1', '[2*]N1CC2(C[C@H]1C(=O)O)SCCS2']",['[1*][C@H](CCc1ccccc1)N[C@@H]([2*])C(=O)N1CC2(C[C@H]1[3*])SCCS2'],['[1*]c1cccc(CCCNCC(=O)N2CCC3(C2)SCCS3)c1']
NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,['[1*]C1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1'],"['[1*]C1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1', '[2*]C1CC2C=CC1C2']",['[1*]c1cc2c(cc1[2*])NC(C1CC3C=CC1C3)NS2(=O)=O'],['[1*]c1ccc2c(c1)S(=O)(=O)NC(C1CC3C=CC1C3)N2']
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,['[1*][C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O'],"['[1*]n1c(NC(C)C)nc2cc(Cl)c(Cl)cc21', '[2*][C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O']",['[1*]c1nc2cc([2*])c([3*])cc2n1[C@H]1O[C@@H]([4*])[C@H]([5*])[C@@H]1[6*]'],['[1*]C1CCOC1n1cnc2ccccc21']
C=CC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1,['[1*][C@H]1CCN(C(=O)C=C)C1'],"['[1*][C@H]1CCN(C(=O)C=C)C1', '[2*]c1cc(OC)cc(OC)c1']",['[1*]N1CC[C@H](n2nc(C#Cc3cc([2*])cc([3*])c3)c3c([4*])ncnc32)C1'],['[1*]c1cccc(C#Cc2nn([C@H]3CCNC3)c3ncncc23)c1']
CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,['[1*]C1(CC#N)CN(S(=O)(=O)CC)C1'],"['[1*]C1(CC#N)CN(S(=O)(=O)CC)C1', '[2*]c1ncnc2[nH]ccc12']",['[1*]N1CC([2*])(n2cc(-c3ncnc4[nH]ccc34)cn2)C1'],['[1*]C1NCC1n1cc(-c2ncnc3[nH]ccc23)cn1']
CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2,['[1*]c1ccc2c(c1)OCCO2'],"['[1*]N1CCCC1', '[2*]c1ccc2c(c1)OCCO2']",['[1*][C@H](CN1CCCC1)[C@H]([2*])c1ccc2c(c1)OCCO2'],['[1*]C(Cc1ccc2c(c1)OCCO2)CN1CCCC1']
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,['[1*]C[C@H](N)C(=O)O'],"['[1*]C[C@H](N)C(=O)O', '[2*]c1ccc(O)c(I)c1']",['[1*]c1cc([2*])c(Oc2ccc([3*])c([4*])c2)c([5*])c1'],['[1*]c1ccccc1Oc1ccccc1']
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,['[1*][C@@H]1[C@@H]2C(=C[C@H](C)C[C@@H]2OC(=O)[C@@H](C)CC)C=C[C@@H]1C'],"['[1*][C@@H]1[C@@H]2C(=C[C@H](C)C[C@@H]2OC(=O)[C@@H](C)CC)C=C[C@@H]1C', '[2*][C@@H]1C[C@@H](O)CC(=O)O1']",['[1*][C@H]1C[C@@H]([2*])C=C2C=C[C@H]([3*])[C@H](CC[C@@H]3C[C@@H]([4*])CC(=O)O3)[C@H]21'],['[1*]C1C=C2C=CCC(CCC3CCCC(=O)O3)C2CC1']
O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,['[1*]n1c(Br)nnc1SCC(=O)O'],"['[1*]n1c(Br)nnc1SCC(=O)O', '[2*]C1CC1']",['[1*]c1nnc([2*])n1-c1ccc(C2CC2)c2ccccc12'],['[1*]c1cc(-n2cnnc2)c2ccccc2c1C1CC1']
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,['[1*]OCCOC'],"['[1*]C#C', '[2*]OCCOC']",['[1*]c1cccc(Nc2ncnc3cc([2*])c([3*])cc23)c1'],['[1*]c1ccc2c(Nc3ccccc3)ncnc2c1']
