category,method,validity,validity_std,uniqueness,uniqueness_std,quality,quality_std,diversity,diversity_std,distance,distance_std
denovo,SAFE-GPT,94.0,0.4,100.0,0.0,54.7,0.3,0.879,0.001,,
denovo,GenMol,100.0,0.0,99.7,0.1,84.6,0.8,0.818,0.001,,
motif,SAFE-GPT,96.1,1.9,66.8,1.2,18.6,2.1,0.562,0.003,0.665,0.006
motif,GenMol,82.9,0.1,77.5,0.1,30.1,0.4,0.617,0.002,0.682,0.001
linker,SAFE-GPT,76.6,5.1,82.5,1.9,21.7,1.1,0.545,0.007,0.541,0.006
linker,GenMol,100.0,0.0,83.7,0.5,21.9,0.4,0.547,0.002,0.563,0.003
morphing,SAFE-GPT,58.9,6.8,70.4,5.7,16.7,2.3,0.514,0.011,0.528,0.009
morphing,GenMol,100.0,0.0,83.7,0.5,21.9,0.4,0.547,0.002,0.563,0.003
superstructure,SAFE-GPT,95.7,2.0,83.0,5.9,14.3,3.7,0.573,0.028,0.776,0.036
superstructure,GenMol,97.5,0.9,83.6,1.0,34.8,1.0,0.599,0.009,0.762,0.007
decoration,SAFE-GPT,97.7,0.3,74.7,2.5,10.0,1.4,0.575,0.008,0.625,0.009
decoration,GenMol,96.6,0.8,82.7,1.8,31.8,0.5,0.591,0.001,0.651,0.001
