Oracle,GenMol,f-RAG,Genetic GFN,Mol GA,REINVENT,Graph GA,Oracle_std,GenMol_std,f-RAG_std,Genetic GFN_std,Mol GA_std,REINVENT_std,Graph GA_std
albuterol similarity,0.937,0.977,0.949,0.896,0.882,0.838,0.0,0.010,0.002,0.010,0.035,0.006,0.016
amlodipine mpo,0.810,0.749,0.761,0.688,0.635,0.661,0.0,0.012,0.019,0.019,0.039,0.035,0.020
celecoxib rediscovery,0.826,0.778,0.802,0.567,0.713,0.630,0.0,0.018,0.007,0.029,0.083,0.067,0.097
deco hop,0.960,0.936,0.733,0.649,0.666,0.619,0.0,0.010,0.011,0.109,0.025,0.044,0.004
drd2,0.995,0.992,0.974,0.936,0.945,0.964,0.0,0.000,0.000,0.006,0.016,0.007,0.012
fexofenadine mpo,0.894,0.856,0.856,0.825,0.784,0.760,0.0,0.028,0.016,0.039,0.019,0.006,0.011
gsk3b,0.986,0.969,0.881,0.843,0.865,0.788,0.0,0.003,0.003,0.042,0.039,0.043,0.070
isomers c7h8n2o2,0.942,0.955,0.969,0.878,0.852,0.862,0.0,0.004,0.008,0.003,0.026,0.036,0.065
isomers c9h10n2o2pf2cl,0.833,0.850,0.897,0.865,0.642,0.719,0.0,0.014,0.005,0.007,0.012,0.054,0.047
jnk3,0.906,0.904,0.764,0.702,0.783,0.553,0.0,0.023,0.004,0.069,0.123,0.023,0.136
median1,0.398,0.340,0.379,0.257,0.356,0.294,0.0,0.000,0.007,0.010,0.009,0.009,0.021
median2,0.359,0.323,0.294,0.301,0.276,0.273,0.0,0.004,0.005,0.007,0.021,0.008,0.009
mestranol similarity,0.982,0.671,0.708,0.591,0.618,0.579,0.0,0.000,0.021,0.057,0.053,0.048,0.022
osimertinib mpo,0.876,0.866,0.860,0.844,0.837,0.831,0.0,0.008,0.009,0.008,0.015,0.009,0.005
perindopril mpo,0.718,0.681,0.595,0.547,0.537,0.538,0.0,0.012,0.017,0.014,0.022,0.016,0.009
qed,0.942,0.939,0.942,0.941,0.941,0.940,0.0,0.000,0.001,0.000,0.001,0.000,0.000
ranolazine mpo,0.821,0.820,0.819,0.804,0.760,0.728,0.0,0.011,0.016,0.018,0.011,0.009,0.012
scaffold hop,0.628,0.576,0.615,0.527,0.560,0.517,0.0,0.008,0.014,0.100,0.025,0.019,0.007
sitagliptin mpo,0.584,0.601,0.634,0.582,0.021,0.433,0.0,0.034,0.011,0.039,0.040,0.003,0.075
thiothixene rediscovery,0.692,0.584,0.583,0.519,0.534,0.479,0.0,0.123,0.009,0.034,0.041,0.013,0.025
troglitazone rediscovery,0.867,0.448,0.511,0.427,0.441,0.390,0.0,0.022,0.017,0.054,0.031,0.032,0.016
valsartan smarts,0.822,0.627,0.135,0.000,0.178,0.000,0.0,0.042,0.058,0.271,0.000,0.358,0.000
zaleplon mpo,0.584,0.486,0.552,0.519,0.358,0.346,0.0,0.011,0.004,0.033,0.029,0.062,0.032
